status_num,expected_amount,location,platform,platform_type,capital,year
0,3000000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2021
0,3000000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2018
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2018
0,3000000.0,Київ,Unknown,Громадський бюджет,Культурний,2018
0,3000000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2019
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2018
0,3000000.0,Київ,Unknown,Громадський бюджет,Культурний,2018
0,3000000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2018
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2016
1,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
1,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2018
1,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2018
1,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2999999.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2999999.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2999999.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2999990.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2999980.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2999970.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
0,2999966.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2016
0,2999948.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2999941.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2999940.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2018
0,2999873.0,Київ,Unknown,Громадський бюджет,Людський,2019
0,2999832.0,Чернівці,Unknown,Громадський бюджет,Людський,2019
1,2999798.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2999724.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2999700.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2999590.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2018
0,2999508.0,Київ,Unknown,Громадський бюджет,Людський,2019
1,2999480.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2018
0,2999000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
1,2998950.0,Біла Церква,Unknown,Громадський бюджет,Інфраструктурний,2020
0,2998326.0,Київ,Unknown,Громадський бюджет,Культурний,2021
0,2998220.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2998032.0,Київ,Unknown,Громадський бюджет,Людський,2021
1,2998032.0,Київ,Unknown,Громадський бюджет,Людський,2021
0,2997576.0,Київ,Unknown,Громадський бюджет,Людський,2019
0,2997000.0,Київ,Unknown,Громадський бюджет,Культурний,2019
0,2996407.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
0,2996000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2996000.0,Чернівці,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2995920.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2018
0,2995704.0,Чернівці,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2995354.0,Чернівці,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2995200.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2018
0,2995200.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2995000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2018
0,2994860.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
1,2994694.0,Чернівці,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2994554.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2994500.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2018
1,2994350.0,Київ,Unknown,Громадський бюджет,Людський,2018
0,2994300.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
1,2993975.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2993798.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2992977.0,Київ,Unknown,Громадський бюджет,Людський,2019
0,2992800.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2992200.0,Київ,Unknown,Громадський бюджет,Культурний,2019
0,2991363.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
1,2990744.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2990490.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2990000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2990000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2018
0,2989819.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2989200.0,Київ,Unknown,Громадський бюджет,Культурний,2019
1,2988749.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2018
0,2988350.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2984378.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2019
1,2983860.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,2983706.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
1,2983540.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
0,2980915.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
0,2980780.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2980080.0,Київ,Unknown,Громадський бюджет,Культурний,2019
0,2976052.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2018
0,2975000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2974800.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
0,2971800.0,Київ,Unknown,Громадський бюджет,Культурний,2021
0,2970000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2968837.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2968800.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2019
1,2968560.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2966048.0,Київ,Unknown,Громадський бюджет,Людський,2018
0,2964225.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2963400.0,Київ,Unknown,Громадський бюджет,Культурний,2019
0,2962975.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2961600.0,Київ,Unknown,Громадський бюджет,Культурний,2019
0,2960200.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2016
1,2958993.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2021
1,2958354.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2955000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2018
0,2950228.0,Київ,Unknown,Громадський бюджет,Людський,2018
1,2950200.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2950000.0,Київ,Unknown,Громадський бюджет,Людський,2018
0,2950000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
0,2950000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
0,2950000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
1,2946644.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
1,2945014.0,Біла Церква,Unknown,Громадський бюджет,Інфраструктурний,2020
0,2944230.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
0,2940000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2940000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2940000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2016
0,2939858.0,Київ,Unknown,Громадський бюджет,Людський,2019
0,2938815.0,Київ,Unknown,Громадський бюджет,Людський,2019
0,2935200.0,Київ,Unknown,Громадський бюджет,Людський,2021
1,2935000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2931960.0,Київ,Unknown,Громадський бюджет,Людський,2019
0,2928400.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2018
0,2927400.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2919720.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2919139.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,2919000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2912592.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2912000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2911200.0,Київ,Unknown,Громадський бюджет,Культурний,2019
0,2910213.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
1,2908885.0,Київ,Unknown,Громадський бюджет,Людський,2019
0,2908006.0,Київ,Unknown,Громадський бюджет,Людський,2021
0,2903412.0,Одеса,Unknown,Громадський бюджет,Соціальний,2017
0,2903400.0,Київ,Unknown,Громадський бюджет,Людський,2019
0,2902900.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2016
0,2900000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2899374.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2018
0,2897842.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2016
0,2894951.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2018
1,2892600.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2890000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2016
0,2888850.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2885369.0,Київ,Unknown,Громадський бюджет,Культурний,2021
0,2885000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2882303.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
0,2880000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2879995.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2879724.0,Київ,Unknown,Громадський бюджет,Людський,2021
0,2875459.0,Київ,Unknown,Громадський бюджет,Людський,2018
0,2875000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
0,2864280.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2018
0,2860190.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2857500.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2855000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2853351.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
0,2850000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2016
0,2839059.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,2837000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2016
0,2836894.0,Київ,Unknown,Громадський бюджет,Культурний,2021
0,2835900.0,Київ,Unknown,Громадський бюджет,Людський,2021
0,2832000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2021
1,2830500.0,Біла Церква,Unknown,Громадський бюджет,Інфраструктурний,2020
0,2822400.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2019
1,2813940.0,Біла Церква,Unknown,Громадський бюджет,Інфраструктурний,2020
0,2802639.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2016
0,2798300.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,2795000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
1,2781340.0,Київ,Велика Ідея,Краудфандинг,Соціальний,2021
0,2776142.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2771000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,2769942.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2018
0,2760840.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2019
1,2760180.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2760075.0,Чернівці,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2758607.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2756000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2751024.0,Київ,Unknown,Громадський бюджет,Людський,2019
0,2751024.0,Київ,Unknown,Громадський бюджет,Людський,2019
1,2751003.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2016
0,2748400.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,2746600.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2744934.0,Київ,Unknown,Громадський бюджет,Людський,2019
0,2744934.0,Київ,Unknown,Громадський бюджет,Людський,2019
0,2710152.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2706960.0,Київ,Unknown,Громадський бюджет,Людський,2019
1,2700120.0,Київ,Unknown,Громадський бюджет,Людський,2019
0,2700000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
1,2700000.0,Одеса,Unknown,Громадський бюджет,Інфраструктурний,2017
0,2699951.0,Київ,Unknown,Громадський бюджет,Людський,2021
0,2699660.0,Київ,Unknown,Громадський бюджет,Людський,2021
0,2694000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2688900.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2688000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2680179.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2016
1,2670200.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2665042.0,Київ,Unknown,Громадський бюджет,Людський,2018
0,2650000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
0,2643705.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2016
0,2641653.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
0,2640000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2018
0,2640000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2640000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2021
0,2634733.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
0,2630000.0,Одеса,Unknown,Громадський бюджет,Культурний,2017
0,2625000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
0,2618980.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2016
